State,Count,Money
AK,14,174.85
AL,60,722.39
AR,27,349.72
AZ,148,1760.49
CA,1270,14524.01
CO,239,2865.58
CT,83,930.17
DC,44,460.56
DE,22,269.77
FL,380,4540.07
GA,189,2200.1
HI,35,397.65
IA,58,647.41
ID,44,531.56
IL,319,3833.71
IN,98,1097.02
KS,54,591.46
KY,69,824.3
LA,43,509.56
MA,214,2376.81
MD,142,1621.55
ME,37,422.62
MI,205,2385.93
MN,171,1923.26
MO,116,1362.82
MS,22,240.78
MT,30,359.7
NC,236,2680.62
ND,11,123.89
NE,35,414.65
NH,30,342.7
NJ,208,2347.88
NM,31,363.68
NV,64,712.36
NY,500,5887.78
OH,225,2534.76
OK,54,602.46
OR,143,1667.55
PA,268,3130.32
RI,30,348.69
SC,119,1439.78
SD,7,90.93
TN,158,1887.38
TX,608,6952.81
UT,101,1129.0
VA,227,2557.72
VT,14,182.86
WA,343,3960.5
WI,156,1820.38
WV,23,267.76
WY,10,99.9
